Iterations,MAE,RMSE,MAPE,MSE,SMAPE,R2,MEDEA,MSLE,input_window_size,horizon,stride
0,172.39881567912533,260.106178716664,38.83929699685479,67655.22420658513,34.98833068510125,0.13005097554886036,111.5833773757962,0.21299275638629034,30,15,5
5,154.31144517911352,228.1748140703481,33.2708051537236,52063.745776037926,30.486933028538214,0.2986758928773722,97.13341565477754,0.15358406157664506,30,15,5
10,78.2195136586025,93.80513601362708,22.48300491014645,8799.403542535076,20.47976277808105,0.31530582068567015,79.16655858646993,0.06428164832425885,30,15,5
15,103.90193333714663,114.19735956472407,30.722134261751783,13041.036931554874,26.619042018938316,0.369812305423039,101.31306653237408,0.09535535502174636,30,15,5
20,100.26611711187785,117.77083408035038,32.783663734221314,13869.96935998142,26.455085886328717,0.40728135200437077,106.44092761015122,0.11952216180812085,30,15,5
25,125.00639165538873,144.18524486790702,34.491427282369905,20789.38483761831,29.954481331333355,0.22650941768022204,118.6206052669296,0.13285087025743098,30,15,5
30,124.82007611377499,147.12629947057377,35.667423040389465,21646.147995904957,31.228061833982895,0.1794346970585612,130.35208872281788,0.1360091266825729,30,15,5
35,97.3818289404509,120.01845002500986,29.889342953402416,14404.428346405788,24.533210700211345,0.10697311825130129,72.00496711557844,0.10102498632154365,30,15,5
40,80.79713264075856,95.89035170507665,28.708050606099068,9194.959550123296,23.114300408199064,-0.2781933729673567,71.18211281597644,0.0902811499187784,30,15,5
45,99.4388433026389,116.01493761947529,37.2034537047571,13459.465750850743,29.51969852753057,-0.6743183558914558,93.50807760468783,0.13375346481734726,30,15,5
50,112.14978340318251,125.55637403107313,38.24464214438479,15764.403059830734,30.850536679521888,0.01527844110369192,101.55095642532694,0.1343120147024537,30,15,5
55,110.27466403048086,119.96625167358624,33.92409384701002,14391.901540610233,28.786456197694264,0.3787878151956303,97.18604673441769,0.11257788064505733,30,15,5
60,154.2948600977498,234.84917795761774,25.29454564534566,55154.13638736881,27.82802883714454,0.046646630584425974,108.65444699659525,0.11898523179949934,30,15,5
65,199.27899603210884,310.31296986745065,33.81113362535304,96294.13926795735,34.58967432220349,0.07477426255478037,109.10139535684533,0.20498488257755615,30,15,5
70,196.6931995711148,306.8877340619608,35.61227591615367,94180.0813176848,34.91755549723707,0.11821819448463844,99.7530871612019,0.20132127808639083,30,15,5
75,197.35711851090173,223.0000351694557,3211.3267257031152,49729.01568557848,52.20942764922057,0.31455173554426086,182.08633487056,2.1990117997670895,30,15,5
