sku,date,region,order_id,net_revenue,quantity,year,month,day
BE20313,2023-04-04,BE_SHOP_INT,1,37.81990521,1,2023,4,4
BE20313,2023-04-09,BE_SHOP_INT,1,33.560747667,1,2023,4,9
BE20313,2023-05-07,BE_SHOP_INT,1,29.831775704,1,2023,5,7
BE20313,2023-05-12,BE_SHOP_INT,1,36.27272727,1,2023,5,12
BE20313,2023-05-19,BE_SHOP_INT,1,72.54545454,2,2023,5,19
BE20313,2023-05-20,BE_SHOP_INT,1,32.944954131,1,2023,5,20
BE20313,2023-06-17,BE_SHOP_INT,1,75.63981042,2,2023,6,17
BE20313,2023-06-20,BE_SHOP_INT,1,36.27272727,1,2023,6,20
BE20313,2023-06-25,BE_SHOP_INT,1,31.6962616854999,1,2023,6,25
BE20313,2023-07-09,BE_SHOP_INT,1,37.28971963,1,2023,7,9
BE20313,2023-07-25,BE_SHOP_INT,3,98.331753546,5,2023,7,25
BE20313,2023-07-27,BE_SHOP_INT,4,90.767772504,6,2023,7,27
BE20313,2023-07-28,BE_SHOP_INT,4,90.767772504,4,2023,7,28
BE20313,2023-07-30,BE_SHOP_INT,3,226.91943126,7,2023,7,30
BE20313,2023-07-31,BE_SHOP_INT,3,90.767772504,4,2023,7,31
BE20313,2023-08-03,BE_SHOP_INT,2,60.511848336,2,2023,8,3
BE20313,2023-08-04,BE_SHOP_INT,3,124.805687193,4,2023,8,4
BE20313,2023-08-05,BE_SHOP_INT,1,30.255924168,1,2023,8,5
BE20313,2023-08-06,BE_SHOP_INT,2,68.075829378,2,2023,8,6
BE20313,2023-08-07,BE_SHOP_INT,2,64.293838857,2,2023,8,7
BE20313,2023-08-08,BE_SHOP_INT,4,128.587677714,4,2023,8,8
BE20313,2023-08-09,BE_SHOP_INT,1,37.81990521,1,2023,8,9
BE20313,2023-08-13,BE_SHOP_INT,3,75.63981042,3,2023,8,13
