sku,date,region,order_id,net_revenue,quantity,year,month,day
BE20206,2022-08-10,BE_SHOP_DACH,4,137.971962631,4,2022,8,10
BE20206,2022-08-11,BE_SHOP_DACH,2,91.9271028034999,3,2022,8,11
BE20206,2022-08-12,BE_SHOP_DACH,3,95.0887850565,3,2022,8,12
BE20206,2022-08-13,BE_SHOP_DACH,3,102.546728982499,3,2022,8,13
BE20206,2022-08-14,BE_SHOP_DACH,2,68.9859813155,2,2022,8,14
BE20206,2022-08-15,BE_SHOP_DACH,3,97.3299065475,4,2022,8,15
BE20206,2022-08-16,BE_SHOP_DACH,2,74.57943926,2,2022,8,16
BE20206,2022-08-17,BE_SHOP_DACH,4,125.920603235999,4,2022,8,17
BE20206,2022-08-18,BE_SHOP_DACH,5,160.345794408999,5,2022,8,18
BE20206,2022-08-19,BE_SHOP_DACH,1,31.6962616854999,1,2022,8,19
BE20206,2022-08-20,BE_SHOP_DACH,3,93.224299075,3,2022,8,20
BE20206,2022-08-21,BE_SHOP_DACH,5,169.600424813999,5,2022,8,21
BE20206,2022-08-25,BE_SHOP_DACH,5,145.3824469088,5,2022,8,25
BE20206,2022-08-26,BE_SHOP_DACH,5,147.6672897348,5,2022,8,26
BE20206,2022-08-27,BE_SHOP_DACH,3,88.0037383268,3,2022,8,27
BE20206,2022-09-02,BE_SHOP_DACH,2,63.392523371,4,2022,9,2
BE20206,2022-09-04,BE_SHOP_DACH,1,29.831775704,1,2022,9,4
BE20206,2022-09-05,BE_SHOP_DACH,2,96.419286315,3,2022,9,5
BE20206,2022-09-06,BE_SHOP_DACH,5,332.75989802,10,2022,9,6
BE20206,2022-09-07,BE_SHOP_DACH,5,174.244689901,6,2022,9,7
BE20206,2022-09-08,BE_SHOP_DACH,2,65.290909086,2,2022,9,8
BE20206,2022-09-09,BE_SHOP_DACH,3,134.624299069,4,2022,9,9
BE20206,2022-09-10,BE_SHOP_DACH,2,69.833474937,2,2022,9,10
BE20206,2022-09-11,BE_SHOP_DACH,5,232.314953275999,7,2022,9,11
BE20206,2022-09-13,BE_SHOP_DACH,3,135.596992348,4,2022,9,13
