sku,date,region,order_id,net_revenue,quantity,year,month,day
BE20209,2022-05-13,BE_SHOP_INT,1,37.81990521,1,2022,5,13
BE20209,2022-05-19,BE_SHOP_INT,1,30.255924168,1,2022,5,19
BE20209,2022-05-25,BE_SHOP_INT,1,27.9672897225,1,2022,5,25
BE20209,2022-05-27,BE_SHOP_INT,1,28.3649289075,1,2022,5,27
BE20209,2022-05-28,BE_SHOP_INT,1,30.255924168,1,2022,5,28
BE20209,2022-05-30,BE_SHOP_INT,2,63.843181114,2,2022,5,30
BE20209,2022-06-08,BE_SHOP_INT,1,32.1469194285,1,2022,6,8
BE20209,2022-06-13,BE_SHOP_INT,1,30.255924168,1,2022,6,13
BE20209,2022-06-14,BE_SHOP_INT,1,30.255924168,1,2022,6,14
BE20209,2022-06-16,BE_SHOP_INT,1,32.1469194285,1,2022,6,16
BE20209,2022-06-29,BE_SHOP_INT,1,30.255924168,1,2022,6,29
BE20209,2022-07-03,BE_SHOP_INT,1,30.255924168,1,2022,7,3
BE20209,2022-07-06,BE_SHOP_INT,1,32.1469194285,1,2022,7,6
BE20209,2022-07-09,BE_SHOP_INT,1,34.037914689,1,2022,7,9
BE20209,2022-07-10,BE_SHOP_INT,1,39.9,1,2022,7,10
BE20209,2022-07-11,BE_SHOP_INT,1,32.1469194285,1,2022,7,11
BE20209,2022-07-15,BE_SHOP_INT,1,28.3649289075,1,2022,7,15
BE20209,2022-07-16,BE_SHOP_INT,1,29.9249999999999,1,2022,7,16
BE20209,2022-07-18,BE_SHOP_INT,1,29.9249999999999,1,2022,7,18
BE20209,2022-07-19,BE_SHOP_INT,1,27.9672897225,1,2022,7,19
BE20209,2022-07-20,BE_SHOP_INT,3,86.985781983,3,2022,7,20
BE20209,2022-07-29,BE_SHOP_INT,1,31.6962616854999,1,2022,7,29
BE20209,2022-07-31,BE_SHOP_INT,1,32.1469194285,1,2022,7,31
BE20209,2022-08-02,BE_SHOP_INT,1,32.1469194285,1,2022,8,2
BE20209,2022-08-03,BE_SHOP_INT,1,32.1469194285,1,2022,8,3
BE20209,2022-08-05,BE_SHOP_INT,1,32.1469194285,1,2022,8,5
BE20209,2022-08-07,BE_SHOP_INT,1,30.255924168,1,2022,8,7
BE20209,2022-08-09,BE_SHOP_INT,1,60.511848336,2,2022,8,9
BE20209,2022-08-18,BE_SHOP_INT,2,69.4366390584999,2,2022,8,18
BE20209,2022-08-21,BE_SHOP_INT,1,28.3649289075,1,2022,8,21
BE20209,2022-08-28,BE_SHOP_INT,1,116.3439252456,4,2022,8,28
BE20209,2023-01-11,BE_SHOP_INT,1,30.255924168,1,2023,1,11
BE20209,2023-01-14,BE_SHOP_INT,1,30.255924168,1,2023,1,14
BE20209,2023-01-17,BE_SHOP_INT,1,100.682243001,3,2023,1,17
BE20209,2023-03-07,BE_SHOP_INT,1,33.560747667,1,2023,3,7
BE20209,2023-04-20,BE_SHOP_INT,1,111.86915889,3,2023,4,20
BE20209,2023-05-02,BE_SHOP_INT,2,81.175221239,3,2023,5,2
BE20209,2023-05-05,BE_SHOP_INT,1,32.074766352,1,2023,5,5
BE20209,2023-05-08,BE_SHOP_INT,1,34.32,1,2023,5,8
BE20209,2023-05-31,BE_SHOP_INT,1,40.09345794,1,2023,5,31
BE20209,2023-07-02,BE_SHOP_INT,1,40.81818182,1,2023,7,2
BE20209,2023-07-12,BE_SHOP_INT,1,81.63636364,2,2023,7,12
BE20209,2023-07-30,BE_SHOP_INT,1,33.570093456,1,2023,7,30
