sku,date,region,order_id,net_revenue,quantity,year,month,day
BE20288,2023-01-02,BE_SHOP_INT,3,71.222748818,3,2023,1,2
BE20288,2023-01-03,BE_SHOP_INT,3,98.616113748,4,2023,1,3
BE20288,2023-01-04,BE_SHOP_INT,1,65.744075832,3,2023,1,4
BE20288,2023-01-05,BE_SHOP_INT,2,65.744075832,3,2023,1,5
BE20288,2023-01-06,BE_SHOP_INT,3,87.658767776,4,2023,1,6
BE20288,2023-01-07,BE_SHOP_INT,1,21.914691944,1,2023,1,7
BE20288,2023-01-08,BE_SHOP_INT,3,68.483412325,3,2023,1,8
BE20288,2023-01-09,BE_SHOP_INT,1,21.914691944,1,2023,1,9
BE20288,2023-01-11,BE_SHOP_INT,1,21.914691944,1,2023,1,11
BE20288,2023-01-13,BE_SHOP_INT,1,21.914691944,1,2023,1,13
BE20288,2023-01-14,BE_SHOP_INT,1,21.914691944,1,2023,1,14
BE20288,2023-01-15,BE_SHOP_INT,2,109.57345972,4,2023,1,15
BE20288,2023-01-16,BE_SHOP_INT,2,94.1614917825,4,2023,1,16
BE20288,2023-01-19,BE_SHOP_INT,1,24.654028437,1,2023,1,19
BE20288,2023-01-22,BE_SHOP_INT,1,21.0928909961,1,2023,1,22
BE20288,2023-01-23,BE_SHOP_INT,5,111.764928914399,5,2023,1,23
BE20288,2023-01-26,BE_SHOP_INT,1,22.253,1,2023,1,26
BE20288,2023-01-27,BE_SHOP_INT,4,43.0075829401,4,2023,1,27
BE20288,2023-01-28,BE_SHOP_INT,5,42.1857819922,7,2023,1,28
BE20288,2023-01-30,BE_SHOP_INT,2,42.1857819922,2,2023,1,30
BE20288,2023-01-31,BE_SHOP_INT,4,96.9725118522,4,2023,1,31
BE20288,2023-02-01,BE_SHOP_INT,1,73.962085311,3,2023,2,1
BE20288,2023-02-02,BE_SHOP_INT,1,57.8,2,2023,2,2
BE20288,2023-02-03,BE_SHOP_INT,1,27.39336493,1,2023,2,3
BE20288,2023-02-07,BE_SHOP_INT,2,43.829383888,2,2023,2,7
BE20288,2023-02-08,BE_SHOP_INT,2,43.522168576,2,2023,2,8
BE20288,2023-02-10,BE_SHOP_INT,4,198.738862566,8,2023,2,10
BE20288,2023-02-11,BE_SHOP_INT,2,49.308056874,2,2023,2,11
BE20288,2023-02-12,BE_SHOP_INT,1,27.00934579,1,2023,2,12
BE20288,2023-02-13,BE_SHOP_INT,2,43.829383888,2,2023,2,13
BE20288,2023-02-14,BE_SHOP_INT,2,49.308056874,2,2023,2,14
BE20288,2023-02-15,BE_SHOP_INT,1,21.914691944,1,2023,2,15
BE20288,2023-02-18,BE_SHOP_INT,1,21.914691944,1,2023,2,18
BE20288,2023-02-19,BE_SHOP_INT,2,50.814691944,2,2023,2,19
BE20288,2023-02-20,BE_SHOP_INT,2,85.3674535935,4,2023,2,20
