sku,date,region,order_id,net_revenue,quantity
BE20044,2022-04-15,BE_SHOP_DACH,1,31.6962616854999,1
BE20044,2022-12-24,BE_SHOP_DACH,1,29.831775704,1
BE20044,2022-12-10,BE_SHOP_DACH,1,37.28971963,1
BE20044,2022-10-18,BE_SHOP_DACH,1,29.831775704,1
BE20044,2022-05-28,BE_SHOP_DACH,1,37.28971963,1
BE20044,2022-06-28,BE_SHOP_DACH,1,31.6962616854999,1
BE20044,2022-06-04,BE_SHOP_DACH,1,29.831775704,1
BE20090,2022-06-19,BE_SHOP_INT,1,23.60189573,1
BE20090,2022-09-21,BE_SHOP_DACH,1,41.887850472,2
BE20182,2022-09-18,BE_SHOP_INT,1,27.39336493,1
BE20182,2022-08-03,BE_SHOP_INT,1,27.39336493,3
BE20182,2022-04-16,BE_SHOP_DACH,1,24.308411211,1
BE20182,2023-01-06,BE_SHOP_INT,1,27.39336493,1
BE20182,2022-12-17,BE_SHOP_INT,1,27.39336493,1
BE20182,2023-04-10,BE_SHOP_INT,1,21.914691944,1
BE20182,2022-11-05,BE_SHOP_INT,1,23.60189573,1
BE20182,2023-02-12,BE_SHOP_INT,1,21.914691944,1
BE20182,2022-12-31,BE_SHOP_INT,1,27.39336493,1
BE20182,2022-08-14,BE_SHOP_INT,1,27.39336493,1
BE20182,2022-09-19,BE_SHOP_DACH,1,51.3271028,6
BE20182,2022-07-15,BE_SHOP_INT,1,23.2843601905,1
BE20182,2022-10-09,BE_SHOP_INT,1,37.763033168,2
BE20182,2022-10-14,BE_SHOP_DACH,1,20.372727276,1
BE20182,2022-11-24,BE_SHOP_INT,1,17.7014217975,1
BE20182,2022-06-20,BE_SHOP_INT,1,21.914691944,1
BE20182,2023-01-24,BE_SHOP_INT,1,43.829383888,2
BE20182,2023-04-20,BE_SHOP_INT,1,27.39336493,1
BE20182,2023-01-31,BE_SHOP_INT,1,22.253,1
BE20182,2022-06-14,BE_SHOP_DACH,1,108.03738316,5
BE20182,2022-09-24,BE_SHOP_INT,1,27.39336493,1
BE20182,2023-01-12,BE_SHOP_INT,1,21.914691944,1
BE20182,2022-06-24,BE_SHOP_INT,1,23.2843601905,1
BE20182,2023-02-23,BE_SHOP_INT,1,54.78672986,2
BE20182,2023-01-21,BE_SHOP_INT,1,21.0928909961,1
BE20182,2022-10-18,BE_SHOP_INT,1,21.241706157,1
BE20182,2022-12-04,BE_SHOP_INT,1,33.952606632,2
BE20182,2022-07-12,BE_SHOP_INT,1,23.2843601905,1
BE20182,2022-10-11,BE_SHOP_INT,1,21.241706157,1
BE20182,2022-10-31,BE_SHOP_INT,1,46.54205608,2
BE20182,2022-06-08,BE_SHOP_DACH,1,27.00934579,2
BE20182,2022-08-01,BE_SHOP_INT,1,21.607476632,1
BE20182,2023-01-22,BE_SHOP_INT,1,27.39336493,1
BE20182,2022-09-10,BE_SHOP_INT,1,43.829383888,2
BE20182,2023-02-26,BE_SHOP_INT,1,21.914691944,1
BE20182,2023-01-20,BE_SHOP_INT,1,24.654028437,1
BE20182,2022-03-02,BE_SHOP_DACH,1,21.607476632,1
BE20182,2022-06-23,BE_SHOP_INT,1,23.2843601905,1
BE20182,2023-04-04,BE_SHOP_INT,1,24.654028437,1
BE20182,2022-12-23,BE_SHOP_INT,1,21.914691944,1
BE20182,2022-08-28,BE_SHOP_INT,1,27.39336493,1
BE20182,2022-12-19,BE_SHOP_INT,1,27.39336493,1
BE20182,2023-03-02,BE_SHOP_INT,1,115.6,4
BE20182,2022-10-05,BE_SHOP_INT,1,41.06168224,2
BE20182,2023-03-10,BE_SHOP_INT,1,24.654028437,1
BE20182,2023-01-03,BE_SHOP_INT,1,21.914691944,1
BE20182,2022-11-09,BE_SHOP_INT,1,23.27102804,1
BE20182,2023-02-15,BE_SHOP_INT,1,69.8530805715,3
BE20182,2023-03-13,BE_SHOP_INT,1,65.744075832,3
BE20182,2022-08-05,BE_SHOP_INT,1,21.914691944,1
BE20182,2022-10-16,BE_SHOP_INT,1,23.60189573,1
BE20182,2023-02-17,BE_SHOP_INT,1,24.654028437,2
BE20182,2022-07-07,BE_SHOP_INT,1,24.308411211,1
BE20182,2023-03-18,BE_SHOP_INT,1,23.12,1
BE20182,2022-07-10,BE_SHOP_INT,1,23.2843601905,1
BE20182,2023-04-26,BE_SHOP_INT,1,21.914691944,2
BE20182,2022-09-20,BE_SHOP_INT,1,27.39336493,1
BE20182,2022-08-31,BE_SHOP_INT,1,21.914691944,1
BE20182,2022-11-06,BE_SHOP_INT,1,21.241706157,1
BE20182,2022-05-01,BE_SHOP_DACH,1,27.00934579,1
BE20182,2022-12-24,BE_SHOP_INT,1,21.914691944,1
BE20182,2022-07-01,BE_SHOP_INT,1,54.78672986,2
BE20182,2023-02-14,BE_SHOP_INT,1,69.8530805715,3
BE20182,2023-02-10,BE_SHOP_INT,1,21.914691944,1
BE20182,2022-07-02,BE_SHOP_INT,1,22.9579439215,1
BE20182,2022-11-03,BE_SHOP_INT,1,21.241706157,1
BE20182,2022-07-28,BE_SHOP_INT,1,23.2843601905,1
BE20182,2023-04-03,BE_SHOP_INT,1,24.654028437,1
BE20182,2022-12-27,BE_SHOP_INT,1,24.654028437,1
BE20182,2022-08-22,BE_SHOP_INT,1,23.2843601905,1
BE20182,2022-12-13,BE_SHOP_INT,1,30.180094784,2
BE20182,2023-01-11,BE_SHOP_INT,1,43.829383888,3
BE20182,2023-03-08,BE_SHOP_INT,1,24.654028437,1
BE20182,2023-01-07,BE_SHOP_INT,1,21.914691944,1
BE20182,2022-03-22,BE_SHOP_DACH,1,23.645454543,1
BE20182,2022-09-04,BE_SHOP_INT,1,20.5450236975,1
BE20182,2022-12-06,BE_SHOP_INT,1,48.099526062,3
BE20182,2023-04-11,BE_SHOP_INT,1,54.78672986,3
BE20182,2023-03-12,BE_SHOP_INT,1,24.654028437,1
BE20182,2023-01-08,BE_SHOP_INT,1,21.914691944,1
BE20182,2023-04-01,BE_SHOP_INT,1,21.914691944,1
BE20182,2022-11-16,BE_SHOP_INT,1,21.241706157,1
BE20182,2023-01-15,BE_SHOP_INT,1,21.914691944,1
