date,order_id
2022-01-01,115
2022-01-01,19
2022-01-02,187
2022-01-02,24
2022-01-03,38
2022-01-03,241
2022-01-04,257
2022-01-04,31
2022-01-05,227
2022-01-05,20
2022-01-06,261
2022-01-06,40
2022-01-07,207
2022-01-07,45
2022-01-08,35
2022-01-08,164
2022-01-09,23
2022-01-09,260
2022-01-10,43
2022-01-10,300
2022-01-11,323
2022-01-11,42
2022-01-12,363
2022-01-12,80
2022-01-13,292
2022-01-13,48
2022-01-14,234
2022-01-14,35
2022-01-15,29
2022-01-15,160
2022-01-16,34
2022-01-16,394
2022-01-17,51
2022-01-17,333
2022-01-18,275
2022-01-18,53
2022-01-19,37
2022-01-19,248
2022-01-20,210
2022-01-20,83
2022-01-21,50
2022-01-21,189
2022-01-22,143
2022-01-22,34
2022-01-23,257
2022-01-23,23
2022-01-24,36
2022-01-24,242
2022-01-25,338
2022-01-25,52
2022-01-26,55
2022-01-26,287
2022-01-27,106
2022-01-27,979
2022-01-28,75
2022-01-28,852
2022-01-29,433
2022-01-29,74
2022-01-30,70
2022-01-30,1063
2022-01-31,196
2022-01-31,829
2022-02-01,73
2022-02-01,282
2022-02-02,49
2022-02-02,212
2022-02-03,38
2022-02-03,152
2022-02-04,147
2022-02-04,16
2022-02-05,100
2022-02-05,26
2022-02-06,186
2022-02-06,33
2022-02-07,397
2022-02-07,119
2022-02-08,360
2022-02-08,66
2022-02-09,217
2022-02-09,68
2022-02-10,76
2022-02-10,162
2022-02-11,137
2022-02-11,38
2022-02-12,203
2022-02-12,35
2022-02-13,32
2022-02-13,176
2022-02-14,63
2022-02-14,178
2022-02-15,197
2022-02-15,28
2022-02-16,180
2022-02-16,92
2022-02-17,183
2022-02-17,80
2022-02-18,52
2022-02-18,196
2022-02-19,152
2022-02-19,20
2022-02-20,237
2022-02-20,66
2022-02-21,55
2022-02-21,285
2022-02-22,262
2022-02-22,74
2022-02-23,47
2022-02-23,213
2022-02-24,208
2022-02-24,65
2022-02-25,52
2022-02-25,154
2022-02-26,103
2022-02-26,32
2022-02-27,265
2022-02-27,93
2022-02-28,335
2022-02-28,90
2022-03-01,247
2022-03-01,137
2022-03-02,189
2022-03-02,145
2022-03-03,241
2022-03-03,60
2022-03-04,134
2022-03-04,33
2022-03-05,29
2022-03-05,119
2022-03-06,243
2022-03-06,36
2022-03-07,57
2022-03-07,220
2022-03-08,264
2022-03-08,64
2022-03-09,263
2022-03-09,41
2022-03-10,63
2022-03-10,227
2022-03-11,37
2022-03-11,202
2022-03-12,132
2022-03-12,22
2022-03-13,28
2022-03-13,282
2022-03-14,220
2022-03-14,23
2022-03-15,224
2022-03-15,20
2022-03-16,49
2022-03-16,203
2022-03-17,181
2022-03-17,66
2022-03-18,127
2022-03-18,47
2022-03-19,20
2022-03-19,111
2022-03-20,39
2022-03-20,175
2022-03-21,70
2022-03-21,201
2022-03-22,49
2022-03-22,297
2022-03-23,76
2022-03-23,251
2022-03-24,188
2022-03-24,69
2022-03-25,24
2022-03-25,128
2022-03-26,164
2022-03-26,27
2022-03-27,210
2022-03-27,34
2022-03-28,384
2022-03-28,47
2022-03-29,376
2022-03-29,68
2022-03-30,89
2022-03-30,551
2022-03-31,86
2022-03-31,346
2022-04-01,224
2022-04-01,33
2022-04-02,277
2022-04-02,39
2022-04-03,289
2022-04-03,44
2022-04-04,241
2022-04-04,30
2022-04-05,365
2022-04-05,151
2022-04-06,285
2022-04-06,95
2022-04-07,122
2022-04-07,229
2022-04-08,58
2022-04-08,159
2022-04-09,36
2022-04-09,127
2022-04-10,326
2022-04-10,43
2022-04-11,1521
2022-04-11,119
2022-04-12,128
2022-04-12,1427
2022-04-13,99
2022-04-13,373
2022-04-14,147
2022-04-14,127
2022-04-15,36
2022-04-15,123
2022-04-16,19
2022-04-16,77
2022-04-17,42
2022-04-17,86
2022-04-18,60
2022-04-18,123
2022-04-19,152
2022-04-19,43
2022-04-20,82
2022-04-20,213
2022-04-21,49
2022-04-21,234
2022-04-22,127
2022-04-22,46
2022-04-23,45
2022-04-23,104
2022-04-24,190
2022-04-24,23
2022-04-25,59
2022-04-25,183
2022-04-26,29
2022-04-26,192
2022-04-27,401
2022-04-27,65
2022-04-28,103
2022-04-28,313
2022-04-29,65
2022-04-29,223
2022-04-30,147
2022-04-30,30
2022-05-01,47
2022-05-01,197
2022-05-02,67
2022-05-02,212
2022-05-03,42
2022-05-03,239
2022-05-04,227
2022-05-04,44
2022-05-05,41
2022-05-05,166
2022-05-06,27
2022-05-06,143
2022-05-07,24
2022-05-07,124
2022-05-08,31
2022-05-08,206
2022-05-09,146
2022-05-09,73
2022-05-10,83
2022-05-10,208
2022-05-11,294
2022-05-11,65
2022-05-12,196
2022-05-12,74
2022-05-13,178
2022-05-13,44
2022-05-14,117
2022-05-14,19
2022-05-15,20
2022-05-15,141
2022-05-16,341
2022-05-16,56
2022-05-17,91
2022-05-17,271
2022-05-18,76
2022-05-18,192
2022-05-19,167
2022-05-19,76
2022-05-20,29
2022-05-20,137
2022-05-21,95
2022-05-21,20
2022-05-22,246
2022-05-22,36
2022-05-23,272
2022-05-23,53
2022-05-24,259
2022-05-24,48
2022-05-25,207
2022-05-25,102
2022-05-26,148
2022-05-26,211
2022-05-27,168
2022-05-27,54
2022-05-28,139
2022-05-28,31
2022-05-29,238
2022-05-29,33
2022-05-30,345
2022-05-30,89
2022-05-31,113
2022-05-31,308
2022-06-01,75
2022-06-01,292
2022-06-02,66
2022-06-02,203
2022-06-03,163
2022-06-03,50
2022-06-04,31
2022-06-04,134
2022-06-05,30
2022-06-05,190
2022-06-06,238
2022-06-06,86
2022-06-07,83
2022-06-07,243
2022-06-08,88
2022-06-08,222
2022-06-09,80
2022-06-09,188
2022-06-10,31
2022-06-10,182
2022-06-11,145
2022-06-11,27
2022-06-12,29
2022-06-12,191
2022-06-13,253
2022-06-13,49
2022-06-14,302
2022-06-14,44
2022-06-15,289
2022-06-15,40
2022-06-16,259
2022-06-16,48
2022-06-17,172
2022-06-17,22
2022-06-18,125
2022-06-18,33
2022-06-19,175
2022-06-19,29
2022-06-20,254
2022-06-20,47
2022-06-21,96
2022-06-21,492
2022-06-22,336
2022-06-22,52
2022-06-23,295
2022-06-23,73
2022-06-24,199
2022-06-24,66
2022-06-25,58
2022-06-25,119
2022-06-26,205
2022-06-26,36
2022-06-27,62
2022-06-27,229
2022-06-28,111
2022-06-28,353
2022-06-29,309
2022-06-29,105
2022-06-30,117
2022-06-30,326
2022-07-01,89
2022-07-01,242
2022-07-02,39
2022-07-02,137
2022-07-03,59
2022-07-03,217
2022-07-04,240
2022-07-04,75
2022-07-05,309
2022-07-05,79
2022-07-06,58
2022-07-06,284
2022-07-07,243
2022-07-07,69
2022-07-08,145
2022-07-08,58
2022-07-09,131
2022-07-09,39
2022-07-10,223
2022-07-10,68
2022-07-11,69
2022-07-11,323
2022-07-12,49
2022-07-12,362
2022-07-13,142
2022-07-13,254
2022-07-14,221
2022-07-14,99
2022-07-15,49
2022-07-15,197
2022-07-16,135
2022-07-16,62
2022-07-17,67
2022-07-17,192
2022-07-18,232
2022-07-18,181
2022-07-19,236
2022-07-19,300
2022-07-20,166
2022-07-20,236
2022-07-21,241
2022-07-21,43
2022-07-22,189
2022-07-22,32
2022-07-23,121
2022-07-23,31
2022-07-24,228
2022-07-24,40
2022-07-25,478
2022-07-25,161
2022-07-26,211
2022-07-26,431
2022-07-27,617
2022-07-27,127
2022-07-28,361
2022-07-28,114
2022-07-29,93
2022-07-29,206
2022-07-30,162
2022-07-30,30
2022-07-31,221
2022-07-31,77
2022-08-01,259
2022-08-01,52
2022-08-02,58
2022-08-02,226
2022-08-03,70
2022-08-03,212
2022-08-04,49
2022-08-04,260
2022-08-05,47
2022-08-05,193
2022-08-06,189
2022-08-06,36
2022-08-07,80
2022-08-07,206
2022-08-08,251
2022-08-08,96
2022-08-09,76
2022-08-09,382
2022-08-10,262
2022-08-10,120
2022-08-11,78
2022-08-11,223
2022-08-12,64
2022-08-12,186
2022-08-13,167
2022-08-13,53
2022-08-14,79
2022-08-14,191
2022-08-15,248
2022-08-15,81
2022-08-16,130
2022-08-16,318
2022-08-17,358
2022-08-17,84
2022-08-18,504
2022-08-18,231
2022-08-19,178
2022-08-19,203
2022-08-20,69
2022-08-20,164
2022-08-21,89
2022-08-21,192
2022-08-22,340
2022-08-22,88
2022-08-23,81
2022-08-23,1068
2022-08-24,88
2022-08-24,603
2022-08-25,53
2022-08-25,438
2022-08-26,69
2022-08-26,348
2022-08-27,73
2022-08-27,250
2022-08-28,86
2022-08-28,485
2022-08-29,1063
2022-08-29,92
2022-08-30,830
2022-08-30,161
2022-08-31,410
2022-08-31,141
2022-09-01,102
2022-09-01,189
2022-09-02,119
2022-09-02,161
2022-09-03,67
2022-09-03,136
2022-09-04,189
2022-09-04,90
2022-09-05,96
2022-09-05,193
2022-09-06,399
2022-09-06,76
2022-09-07,94
2022-09-07,406
2022-09-08,70
2022-09-08,218
2022-09-09,164
2022-09-09,40
2022-09-10,104
2022-09-10,35
2022-09-11,49
2022-09-11,174
2022-09-12,47
2022-09-12,184
2022-09-13,219
2022-09-13,51
2022-09-14,313
2022-09-14,132
2022-09-15,207
2022-09-15,63
2022-09-16,42
2022-09-16,154
2022-09-17,59
2022-09-17,94
2022-09-18,74
2022-09-18,156
2022-09-19,163
2022-09-19,42
2022-09-20,39
2022-09-20,193
2022-09-21,48
2022-09-21,173
2022-09-22,159
2022-09-22,20
2022-09-23,177
2022-09-23,28
2022-09-24,110
2022-09-24,35
2022-09-25,28
2022-09-25,155
2022-09-26,243
2022-09-26,73
2022-09-27,47
2022-09-27,228
2022-09-28,119
2022-09-28,393
2022-09-29,121
2022-09-29,311
2022-09-30,405
2022-09-30,78
2022-10-01,249
2022-10-01,57
2022-10-02,185
2022-10-02,278
2022-10-03,107
2022-10-03,339
2022-10-04,66
2022-10-04,337
2022-10-05,360
2022-10-05,89
2022-10-06,76
2022-10-06,352
2022-10-07,245
2022-10-07,96
2022-10-08,254
2022-10-08,61
2022-10-09,96
2022-10-09,375
2022-10-10,217
2022-10-10,67
2022-10-11,299
2022-10-11,134
2022-10-12,216
2022-10-12,164
2022-10-13,201
2022-10-13,94
2022-10-14,182
2022-10-14,56
2022-10-15,63
2022-10-15,169
2022-10-16,58
2022-10-16,208
2022-10-17,230
2022-10-17,82
2022-10-18,344
2022-10-18,60
2022-10-19,63
2022-10-19,253
2022-10-20,50
2022-10-20,223
2022-10-21,28
2022-10-21,172
2022-10-22,48
2022-10-22,136
2022-10-23,200
2022-10-23,53
2022-10-24,258
2022-10-24,58
2022-10-25,97
2022-10-25,347
2022-10-26,86
2022-10-26,313
2022-10-27,306
2022-10-27,58
2022-10-28,63
2022-10-28,226
2022-10-29,171
2022-10-29,59
2022-10-30,77
2022-10-30,326
2022-10-31,243
2022-10-31,51
2022-11-01,71
2022-11-01,285
2022-11-02,255
2022-11-02,106
2022-11-03,222
2022-11-03,76
2022-11-04,59
2022-11-04,174
2022-11-05,144
2022-11-05,45
2022-11-06,223
2022-11-06,88
2022-11-07,242
2022-11-07,99
2022-11-08,115
2022-11-08,284
2022-11-09,126
2022-11-09,281
2022-11-10,71
2022-11-10,293
2022-11-11,54
2022-11-11,198
2022-11-12,31
2022-11-12,157
2022-11-13,212
2022-11-13,66
2022-11-14,234
2022-11-14,75
2022-11-15,84
2022-11-15,268
2022-11-16,271
2022-11-16,98
2022-11-17,379
2022-11-17,88
2022-11-18,207
2022-11-18,45
2022-11-19,137
2022-11-19,40
2022-11-20,47
2022-11-20,194
2022-11-21,1100
2022-11-21,221
2022-11-22,783
2022-11-22,130
2022-11-23,155
2022-11-23,648
2022-11-24,114
2022-11-24,495
2022-11-25,1378
2022-11-25,327
2022-11-26,108
2022-11-26,496
2022-11-27,549
2022-11-27,138
2022-11-28,819
2022-11-28,192
2022-11-29,89
2022-11-29,325
2022-11-30,164
2022-11-30,47
2022-12-01,41
2022-12-01,121
2022-12-02,34
2022-12-02,107
2022-12-03,94
2022-12-03,26
2022-12-04,43
2022-12-04,153
2022-12-05,179
2022-12-05,38
2022-12-06,52
2022-12-06,163
2022-12-07,43
2022-12-07,188
