Iterations,MAE,RMSE,MAPE,MSE,SMAPE,R2,MEDEA,MSLE,input_window_size,horizon,stride
0,139.38779067917,183.0746593042945,36.65445968732071,33516.33087938351,31.283476555068646,0.3313257507792928,115.28957777977567,0.14245225042306603,30,30,5
5,121.47950609547567,160.09914648882005,31.34519969522376,25631.736706448664,27.24896735710311,0.4814907170087349,99.36476551440319,0.10999123642888096,30,30,5
10,94.03413395880952,113.21655221542082,26.019059871478223,12817.98769554711,23.137281201608513,0.37194175454080425,73.57865013893041,0.08022412064889343,30,30,5
15,94.49835108541542,113.785591028461,25.44391930987287,12947.160725696185,24.328962560790693,0.4499521769735143,85.53816742802144,0.08044943264904013,30,30,5
20,87.15761217925865,107.2728270914549,24.919490919409355,11507.459432193182,22.676308166086205,0.42446191290802193,70.89873651431299,0.07821054905576992,30,30,5
25,90.64789904167247,108.41415832724797,25.314207755917433,11753.629725805591,23.49113591996901,0.3857918534163417,81.56326160273193,0.0762434038927849,30,30,5
30,88.55066888844782,111.74296708576209,25.54182635859064,12486.49069312971,24.109817345766075,0.3163050687697565,75.66318581007161,0.08231761712591171,30,30,5
35,108.3386828436854,127.48350991576311,34.47360199104626,16252.04530044247,28.237083639493054,-0.0001320876867147991,113.61547605911844,0.11737587602267768,30,30,5
40,87.1873946573936,101.72366142152835,26.224930440466625,10347.703293001734,23.514421557410373,0.34951947256415994,88.29383847074408,0.07846127440620837,30,30,5
45,128.34180422032628,203.87836402275894,27.01534112583925,41566.387316596614,28.60156119910598,0.029865922603398154,104.4711828882416,0.13268794792307806,30,30,5
50,151.9842157115417,254.3671912294729,29.820513870780974,64702.66797397123,31.029811910098175,0.053586966715700735,102.85742107137801,0.17189665998671907,30,30,5
55,155.96556939703342,257.8596081350914,30.436964413517632,66491.57750758289,31.69727669401272,0.014264651779931525,116.70561374975571,0.1786940667939786,30,30,5
60,171.66662957126047,282.704965755224,1366.3118507781953,79922.09766266239,38.28580713542693,-0.10193967262913217,81.6148767207477,1.1443329973194072,30,30,5
