Iterations,MAE,RMSE,MAPE,MSE,SMAPE,R2,MEDEA,MSLE,input_window_size,horizon,stride
0,166.79743350934365,228.51840358048415,39.697873999367495,52220.66077497303,34.24745705287226,0.32851729589036116,157.6460161182667,0.18052734805727105,30,15,5
5,133.28528205285255,191.6132200741295,29.362287072329934,36715.62610717678,26.600627782480036,0.5054225677915956,90.24540141731745,0.10997922348886495,30,15,5
10,66.80611674229587,74.61816729763585,18.340110641551163,5567.870890857973,16.952861306734025,0.56675599979975,59.58612552343067,0.03615427420681142,30,15,5
15,81.44770302255412,96.30406958652189,21.522655826509997,9274.47381892565,20.478038204008783,0.5518255714604219,83.4514758824921,0.056254076318871665,30,15,5
20,92.61803175870163,105.04640820395429,28.99061709908285,11034.747876551794,24.53494215663103,0.5284415796019335,106.52802417942115,0.09186456991094365,30,15,5
25,118.64750307282921,135.2932157966715,30.825752932597943,18304.25424060472,29.286853073861458,0.31897127394190794,117.14342126666565,0.11019947223818517,30,15,5
30,109.5657147726459,133.2761498525435,26.70394859684137,17762.532119517637,27.727597676829458,0.32665536831696795,75.91345009197693,0.0963961640323962,30,15,5
35,103.89512977180796,120.10591091218315,29.577553227881175,14425.429836045276,25.638226939629494,0.10567109540431285,111.44370506083953,0.0897254909655044,30,15,5
40,53.344467647795696,62.92979099837196,18.104701020919308,3960.1585950987774,16.123569871579416,0.44949747254874006,53.68735236968661,0.041866595368393114,30,15,5
45,78.41383530147404,86.83069370434482,26.703652879838536,7539.569369177748,24.34441371261976,0.06209951984659157,76.76560246942648,0.07669068018210903,30,15,5
50,97.0198788320063,107.60746601726312,30.87342428829111,11579.366742656437,27.21780545592797,0.2766962360334917,101.12338727662643,0.09535560835629,30,15,5
55,127.4744904719673,134.91856473804742,34.73994051460289,18203.019110974692,32.519616795451434,0.21428469753936252,128.5539985627372,0.11910321334948558,30,15,5
60,208.85218606689017,302.01832400991003,31.866610698223578,91215.068037755,40.654562890933654,-0.5766758062262007,191.5156134022672,0.26896467611382646,30,15,5
65,210.8975858946125,342.4715084998308,32.00540664827757,117286.73413414968,35.88612266644722,-0.12692948819907945,120.39637217169258,0.2528818496917566,30,15,5
70,172.38123882724207,314.017600122219,25.935283025076956,98607.05318651782,28.633929387585304,0.07676969292412561,75.58010275638736,0.1860112975156097,30,15,5
75,257.543434811231,275.8207342014455,3578.659914708429,76077.07741542444,62.48228488723375,-0.04862121158755017,257.9358079244744,2.383389028847156,30,15,5
